1,rzodkiewka,pęczek
2,cytryna,szt
3,twaróg,g
4,cebula,szt
5,szczypiorek,
6,pieprz,
7,chleb do tostera,kromka
8,oliwa,
9,pomidor,szt
10,czosnek,
11,sól,
12,oregano,
13,czarne oliwki,słoik
14,ziemniaki,kg
15,kiełbasa,g
16,świeży szpinak,g
17,świeża kolendra,
18,por,g
19,boczek,g
20,ryż,g
21,fasolka szparagowa,g
22,jajko,szt
23,makaron,g
24,migdały,g
25,buraki,g
26,ser kozi,g
27,rukola,g
28,bakłażan,szt
29,papryka czerwona,szt
30,pomidorki koktajlowe,g
31,świeża bazylia,
32,gotowana cieciorka,g
33,dorsz,g
34,świeży rozmaryn,
35,boczek plastry,g
36,koperek,
37,kiszona kapusta,g
38,olej,
39,makaron (jak ryż),g
40,cukinia,szt
41,mozarella,g
42,orzechy włoskie,g
43,mąka,g
44,cukier,g
45,mleko,ml
46,mandarynki,szt
47,świeża mięta,
48,marchew,szt
49,seler naciowy,szt
50,liść laurowy,
51,kapusta włoska,g
52,pieczarki,g
53,czerwona fasola,puszka
54,groszek konserwowy,puszka
55,tuńczyk,puszka
56,natka pietruszki,
57,sałata,szt
58,ogórek,szt
59,ser feta,szt
60,słonecznik,g
61,majonez,słoik
62,łosoś,g
63,awokado,szt
64,serek kanapkowy,szt
65,masło,g
66,bułka,szt
67,szynka,plastry
68,tortilla,placki
69,szpinak mrożony,g
70,mięso mielone,g
71,śmietana,g
72,serek wiejski,g
73,ser pecorino,g
